"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 19 11:22:43 TRT 2026","Sun Jul 19 11:22:48 TRT 2026","5206","","praktikum.RegistrationTest","","praktikum.RegistrationTest","registrationWithShortPassword","Ошибка при регистрации с паролем меньше 6 символов",""
"passed","Sun Jul 19 11:21:56 TRT 2026","Sun Jul 19 11:22:01 TRT 2026","5191","","praktikum.ConstructorTest","","praktikum.ConstructorTest","goToSaucesSection","Переход к разделу 'Соусы'",""
"passed","Sun Jul 19 11:22:31 TRT 2026","Sun Jul 19 11:22:37 TRT 2026","6554","","praktikum.LoginTest","","praktikum.LoginTest","loginViaForgotPasswordForm","Вход через кнопку в форме восстановления пароля",""
"passed","Sun Jul 19 11:22:14 TRT 2026","Sun Jul 19 11:22:21 TRT 2026","7304","","praktikum.LoginTest","","praktikum.LoginTest","loginViaRegisterForm","Вход через кнопку в форме регистрации",""
"passed","Sun Jul 19 11:22:37 TRT 2026","Sun Jul 19 11:22:43 TRT 2026","5928","","praktikum.RegistrationTest","","praktikum.RegistrationTest","successfulRegistration","Успешная регистрация",""
"passed","Sun Jul 19 11:22:01 TRT 2026","Sun Jul 19 11:22:14 TRT 2026","13124","","praktikum.LoginTest","","praktikum.LoginTest","loginViaMainButton","Вход по кнопке 'Войти в аккаунт' на главной",""
"passed","Sun Jul 19 11:21:37 TRT 2026","Sun Jul 19 11:21:50 TRT 2026","12644","","praktikum.ConstructorTest","","praktikum.ConstructorTest","goToFillingsSection","Переход к разделу 'Начинки'",""
"passed","Sun Jul 19 11:21:50 TRT 2026","Sun Jul 19 11:21:56 TRT 2026","5598","","praktikum.ConstructorTest","","praktikum.ConstructorTest","goToBunsSection","Переход к разделу 'Булки'",""
"passed","Sun Jul 19 11:22:22 TRT 2026","Sun Jul 19 11:22:31 TRT 2026","9054","","praktikum.LoginTest","","praktikum.LoginTest","loginViaPersonalAccountButton","Вход через кнопку 'Личный кабинет'",""
